GEOID,NAME,estimate_2011-2015,estimate_2016-2020,moe_2011-2015,moe_2016-2020,change,se_1,se_2,se_diff,moe_diff,z,significant,geometry
06075047701,"Census Tract 477.01, San Francisco County, California",90636,113909,8993,14230,23273,5466.869300911854,8650.455927051671,10233.134793361996,16833.506735080486,2.2742786516499978,TRUE,"list(list(c(-122.489019, -122.483667, -122.482598, -122.479388, -122.479241, -122.479106, -122.482318, -122.488741, -122.488876, -122.489019, 37.779977, 37.780207, 37.780265, 37.780403, 37.778408, 37.776546, 37.7764, 37.776107, 37.777972, 37.779977)))"
06075047702,"Census Tract 477.02, San Francisco County, California",102022,159917,12321,18614,57895,7489.969604863222,11315.50151975684,13569.827534843405,22322.366294817402,4.266450686373304,TRUE,"list(list(c(-122.488741, -122.482318, -122.479106, -122.478972, -122.478837, -122.482049, -122.488471, -122.488606, -122.488741, 37.776107, 37.7764, 37.776546, 37.774681, 37.772815, 37.772667, 37.772374, 37.774241, 37.776107)))"
06075047801,"Census Tract 478.01, San Francisco County, California",98432,156389,12244,22317,57957,7443.1610942249235,13566.565349544073,15474.247718646404,25455.137497173335,3.745384011796713,TRUE,"list(list(c(-122.497455, -122.493168, -122.493305, -122.491172, -122.489019, -122.488876, -122.488741, -122.488606, -122.488471, -122.494903, -122.495039, -122.495175, -122.497319, -122.497455, 37.777579, 37.777774, 37.779752, 37.779869, 37.779977, 37.777972, 37.776107, 37.774241, 37.772374, 37.772081, 37.773947, 37.775813, 37.775715, 37.777579)))"
06075047802,"Census Tract 478.02, San Francisco County, California",87149,174085,8353,25241,86936,5077.811550151976,15344.072948328267,16162.448601077627,26587.227948772696,5.378887948587416,TRUE,"list(list(c(-122.498801, -122.493446, -122.493305, -122.493168, -122.497455, -122.497319, -122.495175, -122.495039, -122.494903, -122.498114, -122.49825, -122.498386, -122.498521, -122.498669, -122.498801, 37.781377, 37.781627, 37.779752, 37.777774, 37.777579, 37.775715, 37.775813, 37.773947, 37.772081, 37.771934, 37.7738, 37.775667, 37.777531, 37.779507, 37.781377)))"
06075047902,"Census Tract 479.02, San Francisco County, California",107646,143846,17592,17845,36200,10694.224924012158,10848.024316109422,15233.058730546014,25058.381611748195,2.376410453102904,TRUE,"list(list(c(-122.509879, -122.506509, -122.505226, -122.502012, -122.498801, -122.498669, -122.498521, -122.501733, -122.506022, -122.509228, -122.509593, -122.509879, 37.780627, 37.780857, 37.781077, 37.781227, 37.781377, 37.779507, 37.777531, 37.777385, 37.77719, 37.777044, 37.780173, 37.780627)))"
06075060100,"Census Tract 601, San Francisco County, California",202663,235188,30382,50097,32525,18469.300911854105,30454.103343465045,35616.955044291244,58589.8910478591,0.9131886754371265,FALSE,"list(list(c(-122.485783, -122.480296, -122.478083, -122.470336, -122.463793, -122.448241130218, -122.448241, -122.44946, -122.44782, -122.447466, -122.447303, -122.447015, -122.446728, -122.4463, -122.45274, -122.459476, -122.463581, -122.464781, -122.466924, -122.470912, -122.472352, -122.479845, -122.483799, -122.483985, -122.485827333182, -122.485783, 37.790629, 37.801293, 37.810828, 37.808671, 37.804653, 37.8072521685356, 37.804478, 37.802454, 37.801633, 37.79939, 37.798459, 37.796579, 37.794706, 
37.791879, 37.790974, 37.789711, 37.788806, 37.788564, 37.788132, 37.787221, 37.787234, 37.786796, 37.78774, 37.789769, 37.7906121409026, 37.790629)))"
06075060400,"Census Tract 604, San Francisco County, California",64778,114686,8104,46049,49908,4926.44376899696,27993.313069908814,28423.50127691901,46756.65960053177,1.7558709433354447,TRUE,"list(list(c(-122.506796, -122.505262, -122.502031, -122.501041, -122.499139, -122.497487, -122.496564, -122.499059, -122.497017, -122.493529, -122.492161, -122.48889, -122.486606, -122.483811, -122.484909, -122.485124, -122.485275, -122.477016, -122.472269, -122.471355, -122.471215, -122.471319, -122.486042, -122.502426880724, -122.506483, -122.508121548602, -122.506796, 37.735559, 37.735565, 37.735515, 37.7353, 37.734404, 37.733925, 37.733856, 37.731576, 37.729303, 37.729594, 37.728836, 37.730257, 
37.729555, 37.727029, 37.724032, 37.718575, 37.714823, 37.714593, 37.712838, 37.712802, 37.708939, 37.708305, 37.708233, 37.7081329861058, 37.723731, 37.7354395332202, 37.735559)))"
06075060502,"Census Tract 605.02, San Francisco County, California",39358,69343,7073,15478,29985,4299.696048632219,9409.118541033435,10344.99385354301,17017.51488907825,2.8985034137773384,TRUE,"list(list(c(-122.424478, -122.422811, -122.422241, -122.421475, -122.420908, -122.415635, -122.416, -122.416648, -122.419348, -122.420083, -122.420082, -122.42389, -122.423377, -122.424478, 37.71011, 37.710511, 37.711317, 37.712201, 37.713774, 37.712733, 37.711915, 37.710473, 37.709947, 37.708311, 37.708231, 37.708236, 37.709203, 37.71011)))"
06075061000,"Census Tract 610, San Francisco County, California",119526,120718,9930,21492,1192,6036.474164133739,13065.045592705166,14392.165808998965,23675.112755803297,0.0828228368001903,FALSE,"list(list(c(-122.405582, -122.404821, -122.404348, -122.403109, -122.402546, -122.400455, -122.398328, -122.398515, -122.397025, -122.396682, -122.393545, -122.391141, -122.387912, -122.386265, -122.38282, -122.383251, -122.374980911262, -122.377251, -122.379568, -122.37529, -122.390674, -122.39137503156, -122.393635, -122.395107, -122.404682, -122.405292, -122.405582, 37.708231, 37.709747, 37.710443, 37.711998, 37.712266, 37.713118, 37.716259, 37.717664, 37.719515, 37.720266, 37.718487, 37.71804, 
37.716328, 37.717179, 37.721872, 37.720151, 37.7155576312199, 37.714557, 37.711491, 37.708482, 37.70864, 37.708331, 37.708244, 37.708339, 37.708331, 37.708262, 37.708231)))"
06075061200,"Census Tract 612, San Francisco County, California",59541,116626,7333,30400,57085,4457.75075987842,18480.243161094226,19010.2848250721,31271.918537243604,3.002848222700603,TRUE,"list(list(c(-122.395945, -122.394093, -122.391268, -122.389425, -122.387705, -122.387143, -122.385282, -122.388529, -122.38717, -122.387399, -122.389035, -122.39106, -122.391617, -122.393904, -122.392776, -122.396515, -122.395945, 37.737784, 37.736729, 37.739853, 37.738803, 37.742697, 37.741297, 37.74024, 37.736475, 37.735698, 37.734738, 37.732919, 37.734066, 37.732487, 37.733788, 37.735038, 37.737156, 37.737784)))"
06075980300,"Census Tract 9803, San Francisco County, California",135115,117356,25599,38833,-17759,15561.702127659575,23606.686930091186,28274.409647689245,46511.403870448805,-0.6280944578961836,FALSE,"list(list(c(-122.513067688424, -122.511124, -122.505611, -122.498114, -122.494903, -122.488471, -122.482049, -122.478837, -122.471706, -122.466952, -122.465332, -122.463749, -122.460553, -122.458371, -122.454683, -122.454083, -122.450787, -122.447497, -122.444216, -122.440922, -122.440735, -122.445717, -122.4506, -122.453902, -122.453352, -122.452947, -122.456913, -122.45779, -122.458405, -122.46109, -122.464297, -122.47073, -122.477261, -122.484763, -122.486906, -122.493336, -122.496085, -122.502979, 
-122.50987, -122.512070759187, -122.513067688424, 37.7707830331714, 37.771323, 37.771592, 37.771934, 37.772081, 37.772374, 37.772667, 37.772815, 37.773141, 37.773351, 37.773423, 37.773624, 37.774031, 37.774309, 37.774755, 37.77193, 37.772368, 37.77279, 37.773212, 37.773635, 37.772713, 37.77208, 37.77146, 37.771054, 37.768246, 37.766374, 37.765874, 37.766015, 37.76616, 37.766132, 37.765963, 37.765779, 37.765486, 37.76516, 37.765054, 37.764774, 37.764675, 37.764344, 37.76409, 37.7636593024008, 37.7707830331714
)))"
06075980501,"Census Tract 9805.01, San Francisco County, California",47081,12443,13648,1808,-34638,8296.656534954407,1099.0881458966564,8369.140004292689,13767.235307061474,-4.138776502989975,TRUE,"list(list(c(-122.42667, -122.42639, -122.424555, -122.424848, -122.423807, -122.421847, -122.419875, -122.416632, -122.412969, -122.412468, -122.41099, -122.407036, -122.406665, -122.407272, -122.408171, -122.410433, -122.411316, -122.415396, -122.415291, -122.415635, -122.420908, -122.421475, -122.422241, -122.422811, -122.424478, -122.426737, -122.425548, -122.427189, -122.42667, 37.717078, 37.718561, 37.721648, 37.722053, 37.723691, 37.724199, 37.72471, 37.722157, 37.723858, 37.722658, 37.719074, 
37.720085, 37.719215, 37.71782, 37.716157, 37.716414, 37.714367, 37.715474, 37.713504, 37.712733, 37.713774, 37.712201, 37.711317, 37.710511, 37.71011, 37.711225, 37.714517, 37.715748, 37.717078)))"
06075980600,"Census Tract 9806, San Francisco County, California",65930,125113,17975,25894,59183,10927.051671732523,15741.033434650455,19161.95688930272,31521.419082902976,3.088567641702569,TRUE,"list(list(c(-122.385024, -122.382176, -122.377833, -122.379697, -122.378278, -122.377681, -122.37364, -122.369891892504, -122.367697, -122.365478, -122.356784, -122.360238, -122.364084, -122.370411, -122.374980911262, -122.383251, -122.38282, -122.384517, -122.386899, -122.385024, 37.724098, 37.722246, 37.72656, 37.727618, 37.728964, 37.72863, 37.728106, 37.7325512356194, 37.734943, 37.734621, 37.729505, 37.719421, 37.715701, 37.717572, 37.7155576312199, 37.720151, 37.721872, 37.722862, 37.724289, 
37.724098)))"
06075980900,"Census Tract 9809, San Francisco County, California",99593,117630,38203,47107,18037,23223.70820668693,28636.47416413374,36869.88304053102,60650.95760167353,0.48920686784311046,FALSE,"list(list(c(-122.406952, -122.40459, -122.403561, -122.403569, -122.402605, -122.396408, -122.394587, -122.390683, -122.381711, -122.380985, -122.378560351096, -122.376716, -122.376241, -122.373364367386, -122.376847, -122.37911, -122.380887, -122.381558, -122.385282, -122.387143, -122.387705, -122.389425, -122.391268, -122.394093, -122.395945, -122.399705, -122.406853, -122.406952, 37.740495, 37.744126, 37.747762, 37.749475, 37.750558, 37.751179, 37.752427, 37.752663, 37.753186, 37.753228, 37.7535517721854, 
37.752094, 37.748523, 37.7457632793685, 37.740192, 37.73768, 37.738828, 37.738123, 37.74024, 37.741297, 37.742697, 37.738803, 37.739853, 37.736729, 37.737784, 37.73992, 37.73805, 37.740495)))"
